# commodity trading firms — "Name, careers-url"
Vitol, https://www.vitol.com/careers/
Trafigura, https://www.trafigura.com/careers
Glencore, https://www.glencore.com/careers
Gunvor, https://gunvorgroup.com/careers/
Mercuria, https://www.mercuria.com/careers
Cargill, https://careers.cargill.com/
ADM, https://careers.adm.com/
Bunge, https://www.bunge.com/careers
Louis Dreyfus Company, https://www.ldc.com/careers/
COFCO International, https://www.cofcointernational.com/careers/
Wilmar International, https://www.wilmar-international.com/careers
Olam, https://www.olamgroup.com/careers.html
ED&F Man, https://www.edfman.com/careers/
Sucden, https://www.sucden.com/en/careers/
Czarnikow, https://careers.czarnikow.com/
ECOM Agroindustrial, https://www.ecomtrading.com/careers/
Viterra, https://www.viterra.com/Careers
Engelhart Commodities, https://www.engelhartct.com/careers
Freepoint Commodities, https://www.freepoint.com/careers/
Hartree Partners, https://www.hartreepartners.com/careers/
Castleton Commodities International, https://www.cci.com/careers/
Onyx Capital Group, https://www.onyxcapitalgroup.com/careers/
Traxys, https://www.traxys.com/careers/
Concord Resources, https://www.concordresources.com/careers
Gerald Group, https://www.gerald.com/careers
IXM, https://www.ixm.com/careers/
Marex, https://www.marex.com/careers/
StoneX, https://www.stonex.com/careers/
Uniper, https://www.uniper.energy/careers
RWE, https://www.rwe.com/en/career/
EDF Trading, https://www.edftrading.com/careers/
Statkraft, https://www.statkraft.com/career/
Vattenfall, https://careers.vattenfall.com/
Axpo, https://www.axpo.com/group/en/careers.html
MET Group, https://group.met.com/careers
Danske Commodities, https://danskecommodities.com/career
InCommodities, https://www.incommodities.com/careers
DXT Commodities, https://www.dxtcommodities.com/careers/
SEFE, https://www.sefe.eu/careers/
Trailstone, https://trailstone.com/careers/
Vesper, https://www.vesper.com/careers
Aspect Capital, https://www.aspectcapital.com/careers
Transtrend, https://www.transtrend.com/en/careers/
Andurand Capital, https://www.andurand.com/careers
Statar Capital, https://www.statarcapital.com/careers
BGN International, https://www.bgn-int.com/careers/
Trammo, https://www.trammo.com/careers/
Totsa TotalEnergies Trading, https://www.totsa.com/careers
Shell Trading, https://www.shell.com/careers.html
BP Trading, https://www.bp.com/en/global/corporate/careers.html
